FREQ,Frequency,REF_AREA,Territory,DATA_TYPE_AGGR,Aggregate,VALUATION,Valuation (DESC),ADJUSTMENT,Adjustment (DESC),EDITION,Edition (DESC),TIME_PERIOD,Observation,OBS_STATUS,Observation status,NOTE_REF_AREA,Territory (NOTE_REF_AREA),NOTE_DATA_TYPE_AGGR,Aggregate (NOTE_DATA_TYPE_AGGR),NOTE_VALUATION,Valuation (NOTE_VALUATION),NOTE_ADJUSTMENT,Adjustment (NOTE_ADJUSTMENT),NOTE_EDITION,Edition (NOTE_EDITION),BASE_PER,Base year,UNIT_MEAS,Measure unit,UNIT_MULT,Multiplication unit
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2023,213616.9,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2024,214554.7,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,L_2020,Chain linked - reference year 2020,N,Raw data,2026M3,Mar-2026,2025,215152.7,,,,,,,VAL__L_2020_N1,Chain linked - reference year 2020: chained-linking provides a measure of the economic aggregate of interest in volume terms. Notice that the chain linked subaggregates of an aggregate do not add up to the chain linked aggregate itself.,,,,,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2016,187724,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2017,191067,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2018,193524,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2019,194719,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2020,200974,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2021,213132,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
A,Annual,IT,Italy,P31_D_W0_S13,Individual consumption expenditure of general government,V,Current prices,N,Raw data,2024M9,Sep-2024,2022,220634,,,,,,,VAL__V_N3,Current prices:they reflect the value of a product at prices of the current reporting period.,,,T_BIS__BENC2024,Benchmark 2024,,,EURO,Euro,6,Millions
